dog_weight,dog_type
16.6,beagle
22.9,beagle
50.7,pitbull
86.5,dalmatian
66.3,dalmatian
49.3,pitbull
19,beagle
43.7,pitbull
17.8,beagle
39.3,dalmatian
58.8,pitbull
38,pitbull
48,pitbull
54.6,pitbull
51.5,beagle
13.2,beagle
73.3,dalmatian
65,pitbull
79.4,dalmatian
59.9,pitbull
12.4,beagle
41,pitbull
27.2,beagle
40.6,pitbull
26,pitbull
65.7,dalmatian
31.1,beagle
49.8,dalmatian
90.9,dalmatian
63.7,pitbull
67.4,pitbull
25.1,beagle
19.3,beagle
51.3,pitbull
22.3,beagle
11.1,beagle
37.1,pitbull
51,pitbull
18.2,beagle
46.6,pitbull
46.6,dalmatian
28.9,beagle
79.2,dalmatian
63.1,dalmatian
29.6,beagle
19.7,beagle
38.3,pitbull
31.4,pitbull
68.6,dalmatian
66.4,dalmatian
29.8,pitbull
43,pitbull
25,beagle
21.5,beagle
58.3,pitbull
63.7,dalmatian
62.6,pitbull
55.1,dalmatian
88.1,dalmatian
56.7,pitbull
37.4,pitbull
103.6,dalmatian
22.6,beagle
25.1,pitbull
18.3,beagle
23.6,beagle
35.6,pitbull
43.6,pitbull
50.5,pitbull
71.7,dalmatian
24.6,pitbull
57.9,pitbull
41.5,pitbull
19.2,beagle
82,dalmatian
39.5,pitbull
94.6,dalmatian
65.6,pitbull
43.3,pitbull
47.4,pitbull
16.7,beagle
9.1,beagle
16.6,beagle
66.7,pitbull
58.4,pitbull
105.6,dalmatian
40.7,pitbull
22.1,beagle
81.4,dalmatian
24.5,beagle
66,dalmatian
83.8,dalmatian
49.2,pitbull
79.7,dalmatian
8.9,beagle
67.5,dalmatian
6.3,beagle
84.7,dalmatian
65.1,pitbull
55.9,pitbull
59.1,pitbull
93.9,dalmatian
80.8,dalmatian
49.1,dalmatian
28.4,beagle
43.4,pitbull
48.2,pitbull
50.6,pitbull
17.1,beagle
46.3,pitbull
18.5,beagle
25.4,beagle
69.8,dalmatian
68,dalmatian
29.6,beagle
42.9,pitbull
50,pitbull
45.9,pitbull
19.3,beagle
31.1,pitbull
42.2,dalmatian
33.4,pitbull
81.1,dalmatian
95.7,dalmatian
45,dalmatian
118.7,dalmatian
60,dalmatian
77.4,dalmatian
63.2,pitbull
31,beagle
80.1,dalmatian
66.5,dalmatian
48.5,dalmatian
45.2,pitbull
13.7,beagle
121.7,dalmatian
24.7,beagle
43.2,pitbull
40.7,pitbull
5.7,beagle
26.1,beagle
57.6,dalmatian
21,beagle
25.1,beagle
13.7,beagle
30.5,pitbull
16.5,beagle
19.2,beagle
46.8,pitbull
85.4,dalmatian
21.4,beagle
12.9,beagle
100.7,pitbull
65.5,dalmatian
54,pitbull
78.7,dalmatian
51.8,pitbull
44.4,pitbull
76.3,dalmatian
50.6,pitbull
40.9,pitbull
52.1,dalmatian
35.6,pitbull
42.5,dalmatian
73.6,dalmatian
31.1,beagle
74.3,dalmatian
94.5,dalmatian
13.5,beagle
102.7,dalmatian
38.3,beagle
0.5,beagle
47,pitbull
69.4,dalmatian
26.1,beagle
56,pitbull
20,beagle
50.4,pitbull
21.6,beagle
27.8,pitbull
56.2,pitbull
46.4,pitbull
19.5,beagle
71.3,dalmatian
52.6,pitbull
64.1,pitbull
20.8,beagle
47.4,beagle
60.2,dalmatian
66.1,dalmatian
88.8,dalmatian
27.5,beagle
72.3,dalmatian
41.6,beagle
47.1,pitbull
6.7,beagle
25.6,beagle
25.2,beagle
31.6,beagle
12.9,beagle
64.4,dalmatian
65,dalmatian
57.3,pitbull
30.4,beagle
40.8,pitbull
46.5,dalmatian
47.9,pitbull
66.8,pitbull
0.5,beagle
58.5,dalmatian
16.6,beagle
30.3,pitbull
54.2,pitbull
61.9,pitbull
15.1,beagle
57,pitbull
68.8,dalmatian
60.4,pitbull
62.1,dalmatian
60.3,dalmatian
50.5,dalmatian
17.7,beagle
20.7,beagle
71.9,dalmatian
49.7,pitbull
16.2,beagle
11.5,beagle
66,dalmatian
52.5,pitbull
27.4,beagle
50.4,pitbull
74.7,pitbull
46.9,pitbull
30,pitbull
59.9,pitbull
69.8,dalmatian
72.6,dalmatian
59.6,pitbull
48,pitbull
51.8,pitbull
